Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,11928921.11,558365.96,1268265.60,7109,0,7679,0,13520,0,781,0,41,0.7323693122719677,7656
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,12526435.20,231321.29,78780.00,3062,0,775,0,6198,0,935,0,43,0.8966116895366623,8172
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,421843.07,5251.66,4730.00,107,0,110,0,314,0,66,0,7,0.7398910694236038,504
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,9245035.23,5389974.66,5468238.00,4833,0,2499,0,10847,0,1304,0,38,0.9406099292982608,16092
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,4345711.31,1079613.06,2396298.00,900,0,417,0,2324,0,414,0,46,0.3334464536538477,9468
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,2534675.91,507618.05,1062839.00,656,0,193,0,1428,0,324,0,11,0.9241614442976059,2160
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,684782.27,771151.06,268701.55,425,0,229,0,1338,0,180,0,19,0.9252428903129404,2100
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,545047.50,499355.49,304725.14,348,0,171,0,829,0,162,0,17,0.9694476171675716,1764
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,481477.81,182687.95,348976.71,187,0,55,0,416,0,117,0,15,0.9428052050657428,1140
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,17236363.06,0.00,0,5289,0,1780,0,12602,0,2022,53,0.9983267449763609,20976
