Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,11276255.88,443312.41,1000188.00,4522,0,4801,0,8424,0,509,0,25,0.7588013977532505,6000
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,11863372.69,333323.99,94930.00,4171,0,2181,0,8200,0,1026,0,41,0.8869785363658822,9600
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1637664.25,10808.52,5050.00,246,0,184,0,600,0,57,0,6,0.7802438978632217,540
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,3795281.18,2268060.39,2212398.00,1693,0,742,0,3931,0,673,0,14,0.954101326581731,6516
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,2426573.49,595405.80,1330536.00,444,0,158,0,1004,0,217,0,24,0.25583028545286046,5796
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1838543.77,413537.33,873208.00,590,0,213,0,1234,0,311,0,9,0.9350339718768994,1764
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1395728.56,1398172.32,315320.40,1024,0,565,0,2504,0,336,0,25,0.8814628766288195,3960
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1756529.64,932396.02,323738.11,921,0,483,0,1944,0,363,0,28,0.9316202547274792,3372
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1620737.81,291176.61,145718.26,362,0,140,0,862,0,73,0,14,0.8733795157665211,912
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,9957008.49,0.00,0,3788,0,1941,0,7627,0,1056,36,0.9349984457801548,10944
